dataset,model,seed,split,split_name,rmse,mae,r2,train_r2,valid_r2,train_time_sec,n_estimators,epochs,lr,batch_size,best_epoch,freeze_epochs,weight_decay,hidden,arch,picp,mpiw,alpha,n_ensemble,uq_method
clearance,PyG_GAT_h128_e100,42,scaffold,test,0.8667065561732322,0.6922846104495138,0.274978251969434,0.4876428788028071,0.3078319182393526,906.317,,100.0,0.001,16.0,36.0,,,128.0,gat,,,,,
clearance,PyG_GAT_h128_e100,43,scaffold,test,0.939051000044898,0.7834472572153789,0.1488909087618602,0.3810379135464609,0.3404541162397541,571.779,,100.0,0.001,16.0,15.0,,,128.0,gat,,,,,
clearance,PyG_GAT_h128_e100,44,scaffold,test,0.9215811237756426,0.7817739573074505,0.1802639929092068,0.2664605458627636,0.262243980738794,435.524,,100.0,0.001,16.0,3.0,,,128.0,gat,,,,,
ppb,RandomForest_ECFP_random,42,random,test,0.7600581117480133,0.5115414134956864,0.2532263709080923,0.8875728204697223,0.1748793243656753,3.682,200.0,,,,,,,,,,,,,
ppb,RandomForest_ECFP_random,43,random,test,0.7532917127545071,0.5075591438858598,0.2664634544684285,0.8844742733214841,0.1811323193306483,3.565,200.0,,,,,,,,,,,,,
ppb,RandomForest_ECFP_random,44,random,test,0.763550929593988,0.5083487513200246,0.2463470613103354,0.8836404064815299,0.1968249475478221,3.906,200.0,,,,,,,,,,,,,
clearance,RandomForest_ECFP_random,42,random,test,0.895304403044922,0.6979911294983866,0.2125472496587787,0.9025567611174636,0.1529711932272104,1.248,200.0,,,,,,,,,,,,,
clearance,RandomForest_ECFP_random,43,random,test,0.8800477344364396,0.6900615073377211,0.2391561718691289,0.8998285109823072,0.1707312790055467,2.17,200.0,,,,,,,,,,,,,
clearance,RandomForest_ECFP_random,44,random,test,0.8771188964202102,0.6824879839291277,0.2442119890786708,0.9036547163507306,0.1724798336632964,1.265,200.0,,,,,,,,,,,,,
ppb,Multimodal_ChemBERTa_GCN_e20,42,scaffold,test,0.8961332713214617,0.5784270351301349,0.1481076183659119,0.8657022786639517,0.4505057748401173,1372.689,,20.0,1e-05,16.0,13.0,2.0,,128.0,gcn,,,,,
ppb,Multimodal_ChemBERTa_GCN_e20,43,scaffold,test,0.8122838292311783,0.5347160412398179,0.3000691344219384,0.665341297365625,0.4414874242424612,1263.957,,20.0,1e-05,16.0,5.0,2.0,,128.0,gcn,,,,,
ppb,Multimodal_ChemBERTa_GCN_e20,44,scaffold,test,0.8442084826308759,0.5488251695670993,0.2439701310340842,0.8655582872261247,0.4525893273343908,1259.755,,20.0,1e-05,16.0,15.0,2.0,,128.0,gcn,,,,,
ppb,Multimodal_ChemBERTa_GAT_e20,42,scaffold,test,0.8719381518222328,0.5479944498712243,0.1934878916329493,0.7591404371786975,0.4409546745761565,1696.764,,20.0,1e-05,16.0,7.0,2.0,,128.0,gat,,,,,
ppb,Multimodal_ChemBERTa_GAT_e20,43,scaffold,test,0.8866677786721335,0.6055651714918951,0.1660089622021824,0.8393355315769536,0.4457850387874591,1741.025,,20.0,1e-05,16.0,10.0,2.0,,128.0,gat,,,,,
ppb,Multimodal_ChemBERTa_GAT_e20,44,scaffold,test,0.8832938776648027,0.6042358812597224,0.1723438032848154,0.6162399512299765,0.4319009350008861,1760.424,,20.0,1e-05,16.0,5.0,2.0,,128.0,gat,,,,,
ppb,TripleGNN_GCN_GIN_GAT_h128_e100,42,scaffold,test,0.89518296861699,0.6311382181126118,0.1499134354564433,0.5230490761882903,0.3715530393865289,2673.755,,100.0,0.001,16.0,12.0,,,128.0,gcn+gin+gat,,,,,
ppb,TripleGNN_GCN_GIN_GAT_h128_e100,43,scaffold,test,0.8881579879313481,0.541219678333742,0.1632032539267472,0.6134364157691838,0.3939045730002215,4164.549,,100.0,0.001,16.0,29.0,,,128.0,gcn+gin+gat,,,,,
ppb,TripleGNN_GCN_GIN_GAT_h128_e100,44,scaffold,test,0.8131450810357927,0.5536600427089811,0.2985840961189775,0.5503854155623414,0.3980072848351148,3096.816,,100.0,0.001,16.0,17.0,,,128.0,gcn+gin+gat,,,,,
ppb,Multimodal_ChemBERTa_GCN_GIN_GAT_e20,42,scaffold,test,0.8425072519015797,0.5308815634875547,0.24701413101615388,0.8855086404110708,0.44679637024523977,2938.822,,20.0,1e-05,16.0,15.0,2.0,,128.0,gcn+gin+gat,,,,,
