dataset,model,seed,epoch,loss,train_r2,valid_r2,path
ppb,PyG_GAT_h128_e100,43,22,0.6993109168093882,0.2557645692751858,0.1466903399016226,/Users/pradyu/Documents/1_Work/2_Research/DeepChem_ML/Project_1/results/ppb/PyG_GAT_h128_e100/seed43/metrics.json
ppb,PyG_GAT_h128_e100,43,23,0.6774963537851969,0.4138640504939371,0.2693454086135752,/Users/pradyu/Documents/1_Work/2_Research/DeepChem_ML/Project_1/results/ppb/PyG_GAT_h128_e100/seed43/metrics.json
ppb,PyG_GAT_h128_e100,43,24,0.6820988883206873,0.4027173180260809,0.2433512828473405,/Users/pradyu/Documents/1_Work/2_Research/DeepChem_ML/Project_1/results/ppb/PyG_GAT_h128_e100/seed43/metrics.json
ppb,PyG_GAT_h128_e100,43,25,0.6758831671358626,0.3185556990777133,0.1835501568870975,/Users/pradyu/Documents/1_Work/2_Research/DeepChem_ML/Project_1/results/ppb/PyG_GAT_h128_e100/seed43/metrics.json
ppb,PyG_GAT_h128_e100,43,26,0.6662198321686851,0.1398162229596582,-0.0611701364494583,/Users/pradyu/Documents/1_Work/2_Research/DeepChem_ML/Project_1/results/ppb/PyG_GAT_h128_e100/seed43/metrics.json
ppb,PyG_GAT_h128_e100,43,27,0.6917003906435437,0.3689379373424202,0.1855829472941617,/Users/pradyu/Documents/1_Work/2_Research/DeepChem_ML/Project_1/results/ppb/PyG_GAT_h128_e100/seed43/metrics.json
ppb,PyG_GAT_h128_e100,43,28,0.657047528727555,0.4249213265958875,0.2600350707881119,/Users/pradyu/Documents/1_Work/2_Research/DeepChem_ML/Project_1/results/ppb/PyG_GAT_h128_e100/seed43/metrics.json
ppb,PyG_GAT_h128_e100,43,29,0.6908349083897508,0.3418880229484938,0.1903344372875999,/Users/pradyu/Documents/1_Work/2_Research/DeepChem_ML/Project_1/results/ppb/PyG_GAT_h128_e100/seed43/metrics.json
ppb,PyG_GAT_h128_e100,43,30,0.6478421089273912,0.310887358014294,0.130990607505405,/Users/pradyu/Documents/1_Work/2_Research/DeepChem_ML/Project_1/results/ppb/PyG_GAT_h128_e100/seed43/metrics.json
ppb,PyG_GAT_h128_e100,43,31,0.6489578704407186,0.3237046770990139,0.1295301838498934,/Users/pradyu/Documents/1_Work/2_Research/DeepChem_ML/Project_1/results/ppb/PyG_GAT_h128_e100/seed43/metrics.json
ppb,PyG_GAT_h128_e100,43,32,0.6739251624654841,0.3745220196945418,0.213444242675874,/Users/pradyu/Documents/1_Work/2_Research/DeepChem_ML/Project_1/results/ppb/PyG_GAT_h128_e100/seed43/metrics.json
ppb,PyG_GAT_h128_e100,43,33,0.6779714877958651,0.4032827661840104,0.2150531093511862,/Users/pradyu/Documents/1_Work/2_Research/DeepChem_ML/Project_1/results/ppb/PyG_GAT_h128_e100/seed43/metrics.json
ppb,PyG_GAT_h128_e100,43,34,0.6562303109669391,0.3620354827960204,0.2150508095479835,/Users/pradyu/Documents/1_Work/2_Research/DeepChem_ML/Project_1/results/ppb/PyG_GAT_h128_e100/seed43/metrics.json
ppb,PyG_GAT_h128_e100,43,35,0.6451326095395618,0.4146856876300879,0.2454785647698922,/Users/pradyu/Documents/1_Work/2_Research/DeepChem_ML/Project_1/results/ppb/PyG_GAT_h128_e100/seed43/metrics.json
ppb,PyG_GAT_h128_e100,43,36,0.6523900422049157,0.4025571174462671,0.2345518537257015,/Users/pradyu/Documents/1_Work/2_Research/DeepChem_ML/Project_1/results/ppb/PyG_GAT_h128_e100/seed43/metrics.json
ppb,PyG_GAT_h128_e100,43,37,0.6546683743780042,0.3878136594797206,0.1882125690261447,/Users/pradyu/Documents/1_Work/2_Research/DeepChem_ML/Project_1/results/ppb/PyG_GAT_h128_e100/seed43/metrics.json
ppb,PyG_GAT_h128_e100,43,38,0.6418597672456576,0.4240825251237574,0.2665244338626492,/Users/pradyu/Documents/1_Work/2_Research/DeepChem_ML/Project_1/results/ppb/PyG_GAT_h128_e100/seed43/metrics.json
ppb,PyG_GAT_h128_e100,42,1,0.9536777036945996,0.1371232231191729,0.1708014620608884,/Users/pradyu/Documents/1_Work/2_Research/DeepChem_ML/Project_1/results/ppb/PyG_GAT_h128_e100/seed42/metrics.json
ppb,PyG_GAT_h128_e100,42,2,0.8654860461630473,0.1614122523732559,0.1120515306851618,/Users/pradyu/Documents/1_Work/2_Research/DeepChem_ML/Project_1/results/ppb/PyG_GAT_h128_e100/seed42/metrics.json
ppb,PyG_GAT_h128_e100,42,3,0.8502825905637044,0.088885723330065,-0.0423773167362766,/Users/pradyu/Documents/1_Work/2_Research/DeepChem_ML/Project_1/results/ppb/PyG_GAT_h128_e100/seed42/metrics.json
ppb,PyG_GAT_h128_e100,42,4,0.8310761251827565,0.2189366300908344,0.0736680703541352,/Users/pradyu/Documents/1_Work/2_Research/DeepChem_ML/Project_1/results/ppb/PyG_GAT_h128_e100/seed42/metrics.json
ppb,PyG_GAT_h128_e100,42,5,0.799586180506683,0.1736155016184497,0.0678563633924937,/Users/pradyu/Documents/1_Work/2_Research/DeepChem_ML/Project_1/results/ppb/PyG_GAT_h128_e100/seed42/metrics.json
ppb,PyG_GAT_h128_e100,42,6,0.7737058539216112,0.1395970700300324,0.0025422043093303,/Users/pradyu/Documents/1_Work/2_Research/DeepChem_ML/Project_1/results/ppb/PyG_GAT_h128_e100/seed42/metrics.json
ppb,PyG_GAT_h128_e100,42,7,0.7665372214666227,0.1721999896066633,0.0359274375211269,/Users/pradyu/Documents/1_Work/2_Research/DeepChem_ML/Project_1/results/ppb/PyG_GAT_h128_e100/seed42/metrics.json
